논문이름,저자,발행기관,학술지명,권호사항,발행년도,작성언어,주제어,초록
보건의료 빅데이터의 시각화 방법들                      = Statistical Methods for Visualizing Healthcare Big Data,김성화                                (연세대학교 원주의과대학)                                                                ;                                  임지혜                                (연세대학교 원주의과대학)                                                                ;                                  강대룡                                (연세대학교 원주의과대학),한국보건정보통계학회,보건정보통계학회지(Journal of Health Informatics and Statistics),Vol.48   No.S1   [2023],2023,Korean,Healthcare big data;  Summary;  Exploration;  Visualization;  .,"With the advancement and acceleration of digital technology, the demand and supply of healthcare big data are increasing. In Korea, the government and companies have made various efforts to utilize healthcare big data, such as deregulation data-related legal regulations and data linkage between different institutions. As a result, many researchers have been able to access a variety of healthcare big data. Although healthcare big data has a vast amount and high value, many researchers are unable to fully access healthcare big data because there are difficulties in processing, analysis, and inter- pretation for data. The data visualization is recognized as an important tool that can solve these limitations. Using data visualization, researchers can intuitively understand complex data and receive support for decision-making. Additionally, these visualizations promote effective communication between experts in different fields and between experts and non-experts. Visualization is used in a variety of research fields and processes, including data summarization, data exploration, and evaluation and interpretation of predictive models. Various types of visualization have different meanings depending on how they are expressed. Therefore, it is important to express the meaning of visualization appropriately. This study provides representa- tive examples of visual representations for data summarization, data exploration, and predictive model evaluation. This study aimed to improve easier access and utilization of healthcare big data by providing R code and visualization results."
약용 생물자원 빅데이터 구축 : 2019~2021,김상균                                (한국한의학연구원)                                                                ;                                  장호                                (한국한의학연구원)                                                                ;                                  이명구                                (한국한의학연구원)                                                                ;                                  김태홍                                (한국한의학연구원)                                                                ;                                  예상준                                (한국한의학연구원)                                                                ;                                  장윤지                                (한국한의학연구원),한약정보연구회,한약정보연구회지(Korean Herbal Medicine Informatics),Vol.9   No.2   [2021],2021,Korean,medicinal biological resources;  forest big data;  compounds of medicinal materials;  health management;  big data platform,"This study aims to describe the big data for medicinal biological resources and to discuss how to use the data. The medicinal biological resources data was constructed by producing and processing the information related to medicinal materials in medicinal biological resources big data center of forest big data platform. The big data center has produced 54 million 168 GB data for 27 datasets of 9 types from 2019 to 2021 and has opened it to the public for free. This study also presents valuable use cases in two fields. The information on medicinal biological resources can be used in personal health management in daily life based on Korean medicine. In addition, it can be used to build a big data platform that analyzes biomedical data by combining the compounds of medicinal materials and existing bio big data in the biomedical fields."
소화기 영역의 빅데이터 연구 - 빅데이터연구위원회 활동 및 성과 중심으로 -                      = Research Using Big Data in Gastroenterology - Based on the Outcomes from Big Data Research Group of the Korean Society of Gastroenterology -,김지현                                (연세대학교 의과대학 내과학교실)                                                                ;                                  정현수                                (서울대학교 의과대학 내과학교실)                                                                ;                                  김현수                                (연세대학교 원주의과대학 내과학교실)                                                                ;                                  김수영                                (연세대학교 원주의과대학 내과학교실)                                                                ;                                  차재명                                (경희대학교 의과대학 내과학교실)                                                                ;                                  이창균                                (경희대학교 의과대학 내과학교실)                                                                ;                                  박병규                                (국민건강보험 일산병원 소화기내과)                                                                ;                                  박소희                                (연세대학교 보건대학원)                                                                ;                                  대한소화기학회 빅데이터연구위원회                                (대한소화기학회 빅데이터연구위원회),대한소화기학회,대한소화기학회지(The Korean journal of gastroenterology),Vol.75   No.1   [2020],2020,Korean,Research;  Big data;  Gastroenterology,"The Big Data Research Committee of the Korean Society of Gastroenterology conducted activities and researches with three goals. First, it provides the basis for proper and cost-effective treatment of digestive diseases in Korea. Second, it carries out population- level global research by establishing a system of big data analysis related to gastroenterology. Third, it provides the members of the Korean Society of Gastroenterology with the opportunity to plan and assess the public interest related to big data. The studies published by the committee members in this paper were carried out under these objectives, and the findings are believed to have achieved the public interest goals that may be helpful in the current medical and health policy. The construction of the big data infrastructure for digestive drugs is also underway, and we expect to see meaningful results pertaining to important digestive drugs. Research using public health medical big data, such as the National Health Insurance Corporation data base, should ultimately provide a basis for reflecting public messages and policies for the public. To this end, it is necessary for Korean researchers to lead efforts to lower the barriers and to approach relevant information and opportunities using big data research."
인공지능을 활용한 C-Arm에서 수술용 거즈 검출을 위한 데이터셋 구축 및 검출모델 적용에 관한 연구                      = A Study on the Dataset Construction and Model Application for Detecting Surgical Gauze in C-Arm Imaging Using Artificial Intelligence,김진엽                                (가톨릭대학교 은평성모병원)                                                                ;                                  황호성                                (을지대학교)                                                                ;                                  이병주                                (가톨릭대학교 은평성모병원)                                                                ;                                  최용진                                (가톨릭대학교 은평성모병원)                                                                ;                                  이강석                                (가톨릭대학교 은평성모병원)                                                                ;                                  김호철                                (을지대학교),대한의용생체공학회,의공학회지(Journal of Biomedical Engineering Research),Vol.43   No.4   [2022],2022,Korean,Surgery;  Artificial intelligence;  Gauze;  Object detection;  C-Arm,"During surgery, Surgical instruments are often left behind due to accidents. Most of these are surgical gauze, so radioactive non-permeable gauze (X-ray gauze) is used for preventing of accidents which gauze is left in the body. This gauze is divided into wire and pad type. If it is confirmed that the gauze remains in the body, gauze must be detected by radiologist’s reading by imaging using a mobile X-ray device. But most of operating rooms are not equipped with a mobile X-ray device, but equipped C-Arm equipment, which is of poorer quality than mobile X- ray equipment and furthermore it takes time to read them. In this study, Use C-Arm equipment to acquire gauze image for detection and Build dataset using artificial intelligence and select a detection model to Assist with the rel- atively low image quality and the reading of radiology specialists. mAP@50 and detection time are used as indicators for performance evaluation. The result is that two-class gauze detection dataset is more accurate and YOLOv5 model mAP@50 is 93.4% and detection time is 11.7 ms."
빅데이터를 이용한 소아청소년에서의 코로나 바이러스 감염증-19와 치과 방문의 연관성 분석                      = Analysis of the Association between COVID-19 and Dental Visits in Children and Adolescents through Big Data,"손동현                                (연세대학교원주세브란스기독병원)                                                                ;                                  김지훈                                (연세대학교)                                                                ;                                  Son, Donghyun                                                                                                ;                                  Kim, Jihun",대한소아치과학회(The Korean Academy of Pediatric Dentistry ),大韓小兒齒科學會誌(JOURNAL OF THE KOREAN ACADEMY OF PEDIATRIC DENTISTRY ),Vol.48   No.3   [2021],2021,Korean,COVID-19;  Big data;  Children;  Adolescent;  Dental visits;  Dental service,"이 연구는 코로나 바이러스 감염증-19로 인한 소아청소년의 치과 방문에 대한 변화를 알아보기 위해 수행됐다. 한국 건강보험심사평가원에서 제공하는 자료를 기준으로 2019년 1월부터 2020년 8월까지 소아청소년의 치과 방문 횟수 및 치과주상병 변화를 월별, 지역별 분석하였다. 2020년 1월부터 8월까지의 소아청소년의 치과의원 및 치과병원 총 방문 횟수는 2019년 같은 기간과 비교시 0 - 9세 연령군에서는 642,202회(16.3%), 10 - 19세 연령군은 313,488회(9.2%) 감소하여 0 - 9세 연령군이 10 - 19세 연령군보다 더 큰 감소를 보였다. 같은 기간 상병별로는 Z29(기타 예방적 조치의 필요)로 인한 감소가 0 - 9세 연령군에서는 118,219회(34%), 10 - 19세 연령군에서는 83,944회(31%) 감소하여 가장 큰 변화를 보였다. 코로나 바이러스 감염증-19로 인한 전반적인 소아청소년의 치과 이용이 감소된 것으로 분석되며 이는 추후 소아청소년들의 구강 보건 악화로 이어질 가능성이 있으며, 이 연구는 이후 코로나 바이러스 감염증-19와 같은 전염병 발생 시 참고 자료가 될 수 있을 것이다."
"빅데이터를 활용한 화병, 우울증, 자살의 검색 상관관계 분석: 2016년부터 2022년까지                      = Correlation Analysis among Searches of Hwa-Byung, Depression, and Suicide Using Big Data: from 2016 to 2022",권찬영                                (동의대학교 한의과대학 한방신경정신과교실)                                                                ;                                  김원일                                (동의대학교 한의과대학 비계내과학교실),대한한방신경정신과학회(The Korean Society of Oriental Neuropsychiatry),동의신경정신과학회지(The Korean Society of Oriental Neuropsychiatry),Vol.34   No.1   [2023],2023,Korean,Suicide;  Hwa-byung;  Depression;  Big data;  Correlation,"Objectives: The aim of this study was to analyze correlations among searches of hwa-byung, depression, and suicide using big data.Methods: Keywords searches were performed using both Google Trends and Naver Data Lab on December 13, 2022. From 2016 to 2022, search results for keywords ‘hwa-byung’, ‘depression’, and ‘suicide’ were extracted with a score between 0 and 100 in terms of relative search popularity (RSP). Monthly time analysis, correlation analysis, and regional analysis were then conducted for these scores.Results: Regardless of the search period, RSP for both portal sites was in the order of ‘suicide’, ‘depression’, and ‘hwa-byung’. Over time, search for ‘depression’ tended to increase in Google (slope: 0.0092), whereas search for ‘hwa-byung’ showed a slight increase in Naver (slope: 0.0024). Correlation coefficient for search terms ‘depression’ and ‘suicide’ was 0.3969 in Google Trends and 0.4459 in Naver Data Lab, showing clear positive correlations. On the other hand, there was little correlation between search results of ‘hwa-byung’ and ‘depression’ or between ‘hwa-byung’ and ‘suicide’. However, compared to males, females showed higher positive associations between search results of ‘hwa-byung’ and ‘depression’ and between ‘hwa-byung’ and ‘suicide’. Search terms ‘depression’ and ‘suicide’ showed high RSPs in most regions in South Korea. However, ‘hwa-byung’ had distinct regional differences in terms of RSP.Conclusions: Results of this study will help us understand Korean public’s perception of the relevance of hwa-byung, depression, and suicide and plan future research in this topic. In addition, findings of this study may provide future public health implications for reducing the high suicide rate in Korea."
빅데이터를 활용한 코로나 우울에 관한 연구                      = Analysis of Issues on COVID-19 Blues Using Big data,김연정                                (나사렛대학교),한국보건사회연구원,保健社會硏究(Health and Social Welfare Review),Vol.43   No.2   [2023],2023,Korean,코로나 우울;  빅데이터;  텍스트 마이닝;  COVID-19 Blues;  Big Data;  Text Mining,"The purpose of this study was to analyze big data related to the “COVID-19 blues” to explore major issues and public response. The data were collected using web crawling from January 2020 through March 2021 and analyzed using text mining analysis. The results indicated that the main keywords related to Corona blues were ‘overcoming,’ ‘anxiety,’ ‘person,’ ‘mind,’ ‘prolonged,’ ‘symptom,’ ‘stress,’ and ‘sequela.’ The main N-gram keywords in the data were depression-anxiety, depression-overcoming, and corona-sequela. In relation to COVID-19 blues, words with high co-occurrence frequencies were anxiety, blue, and depression. Our keyword correlation analysis found that the words most related to ‘corona’ were ‘blue’, ‘symptoms’, and ‘restoration’, and the words most related to ‘blues’ were ‘depression’, ‘friend’, and ‘thought’. Topic modeling indicated that 10 topics were ‘confusion due to working from home’, ‘nearby mental health services’, ‘symptoms of COVID-19 blues’, ‘transition to depression’, ‘withdrawal in interpersonal relationships’, ‘youth academic turmoil’, ‘psychological difficulties of youth’, ‘the aftereffects of COVID-19’, ‘birthday blues’, and ‘weight gain’. Big data analysis revealed the need for more inclusive strategies of mental support for COVID-19 blues. Implications for intervention and recommendations for further research are provided."
빅데이터를 이용한 치면열구전색 급여화 이후의 소아청소년 치면열구전색 환자에 대한 분석                      = Analysis of the Characteristics of Children and Adolescent Patients Received Sealant after National Health Insurance Coverage using Big Data,"이한길                                (연세대학교 원주세브란스기독병원 소아치과)                                                                ;                                  손동현                                (연세대학교원주세브란스기독병원)                                                                ;                                  나채현                                (연세대학교 원주세브란스기독병원 소아치과)                                                                ;                                  김지훈                                (연세대학교)                                                                ;                                  Lee, Hangil                                                                                                ;                                  Son, Donghyun                                                                                                ;                                  Na, Chaehyun                                                                                                ;                                  Kim Jihun",대한소아치과학회(The Korean Academy of Pediatric Dentistry ),大韓小兒齒科學會誌(JOURNAL OF THE KOREAN ACADEMY OF PEDIATRIC DENTISTRY ),Vol.48   No.2   [2021],2021,Korean,Sealant;  National patients sample data;  Children and adolescent patients;  Big data,"이 연구의 목적은 치면열구전색의 급여화 이후 치면열구전색 처치를 받은 소아청소년 환자들의 성별, 나이, 보험종류, 지역, 의료기관 등의 특성을 알아보는 것이다. 건강보험심사평가원의 환자표본자료를 이용하였으며 2010년부터 2017년까지 총 8,454,636명의 환자의 정보를 얻을 수 있었고 이중 치면열구전색 처치가 포함된 환자는 114,680명이었다. 여자에서 남자보다 치면열구전색 처치를 받은 비율이 더 높았고, 5 - 9세 집단이 다른 연령에 비하여 가장 많은 치면열구전색 환자 및 진료 비율을 보였다. 보험의 경우 건강보험을 가진 경우가 의료급여에 해당하는 환자에 비해 치면열구전색 진료를 받은 비율이 높았고 진료기관은 치과의원, 치과병원, 보건소 순으로 나타났다. 지역별 비교에서는 경기도가 가장 많은 치면열구전색 환자를 보였으나, 환자 비율의 경우 전북이 가장 높게 나타났다."
빅데이터연구와 윤리적 주의점 : 보건의료 데이터 활용 가이드라인을 중심으로,최인영(In Young Choi),대한소아청소년정신의학회,대한소아청소년정신의학회 학술대회논문집,Vol.2021   No.11   [2021],2021,Korean,,
"빅데이터를 이용한 양성돌발두위현훈과 흡연, 음주, 비만의 상관관계 분석                      = The Big Data Analysis of Correlation Between Benign Paroxysmal Positional Vertigo and Smoking, Alcohol Consumption, Obesity",심수현                                (인제대학교 의과대학 부산백병원 이비인후-두경부외과학교실)                                                                ;                                  김우진                                (인제대학교 의과대학 부산백병원 이비인후-두경부외과학교실)                                                                ;                                  연응록                                (인제대학교 의과대학 부산백병원 이비인후-두경부외과학교실)                                                                ;                                  홍태의                                (인제대학교 의과대학 부산백병원 이비인후-두경부외과학교실)                                                                ;                                  허경욱                                (인제대학교 의과대학 부산백병원 이비인후-두경부외과학교실),대한이비인후과학회,대한이비인후과학회지 두경부외과학(Korean Journal of Otolaryngology-Head and Neck Surgery),Vol.66   No.8   [2023],2023,Korean,Alcohol drinking;  Benign paroxysmal positional vertigo;  Big Data;  Obesity;  Smoking.,"Background and Objectives Benign paroxysmal positioning vertigo (BPPV) is one of themost frequent causes of vertigo in otology. We investigated the correlation between BPPV andsmoking and alcohol, which are the two common risk factors of numerous diseases, a relation-ship that has not been studied previously.Subjects and Method We analyzed the correlation between smoking, alcohol and obesitywith BPPV and with canalith reposition therapy (CRT) using the big data provided by a gov-ernmental institution.Results Alcohol consumption and high-risk alcohol consumption rate significantly showednegative correlation with BPPV. Also, smoking, alcohol consumption, and high-risk alcoholconsumption rate significantly showed negative correlation with CRT. On the other hand, obe-sity showed positive correlation with CRT significantly.Conclusion Smoking and alcohol are considered to have a negative correlation with BPPV.However, further studies are needed to establish the role of smoking, alcohol, and obesity in the prevalence of BPPV."
인공지능 기반 임상의학 결정 지원 시스템 의료기기의 성능 및 안전성 검증을 위한 간 종양 표준 데이터셋 구축                      = Construction of a Standard Dataset for Liver Tumors for Testing the Performance and Safety of Artificial Intelligence-Based Clinical Decision Support Systems,"Kim Seung-seob                                (Department of Radiology and Research Institute of Radiological Science, Severance Hospital, Yonsei University College of Medicine, Seoul, Korea.)                                                                ;                                  Lee Dong Ho                                (Department of Radiology, Seoul National University Hospital, Seoul National University College of Medicine, Seoul, Korea.)                                                                ;                                  Lee Min Woo                                (Department of Radiology and Center for Imaging Science, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.)                                                                ;                                  Kim So Yeon                                (Department of Radiology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea.)                                                                ;                                  Shin Jaeseung                                (Department of Radiology and Research Institute of Radiological Science, Severance Hospital, Yonsei University College of Medicine, Seoul, Korea.)                                                                ;                                  Choi Jin-Young                                (Department of Radiology and Research Institute of Radiological Science, Severance Hospital, Yonsei University College of Medicine, Seoul, Korea.)                                                                ;                                  Choi Byoung Wook                                (Department of Radiology and Research Institute of Radiological Science, Severance Hospital, Yonsei University College of Medicine, Seoul, Korea.)",대한영상의학회,대한영상의학회지(Journal of the Korean Radiological Society),Vol.82   No.5   [2021],2021,Korean,Liver Neoplasms;  Aritificial Intelligence;  Machine Learning;  Deep Learning;  Datasets as Topic,"Purpose To construct a standard dataset of contrast-enhanced CT images of liver tumors to test the performance and safety of artificial intelligence (AI)-based algorithms for clinical decision support systems (CDSSs).Materials and Methods A consensus group of medical experts in gastrointestinal radiology from four national tertiary institutions discussed the conditions to be included in a standard dataset. Seventy-five cases of hepatocellular carcinoma, 75 cases of metastasis, and 30–50 cases of benign lesions were retrieved from each institution, and the final dataset consisted of 300 cases of hepatocellular carcinoma, 300 cases of metastasis, and 183 cases of benign lesions.Only pathologically confirmed cases of hepatocellular carcinomas and metastases were enrolled.The medical experts retrieved the medical records of the patients and manually labeled the CT images. The CT images were saved as Digital Imaging and Communications in Medicine (DICOM) files.Results The medical experts in gastrointestinal radiology constructed the standard dataset of contrast-enhanced CT images for 783 cases of liver tumors. The performance and safety of the AI algorithm can be evaluated by calculating the sensitivity and specificity for detecting and characterizing the lesions.Conclusion The constructed standard dataset can be utilized for evaluating the machine-learningbased AI algorithm for CDSS."
빅데이터에 의한 농촌 환경 의료 관심 트랜드 분석                      = Analysis of Medical Treatment Interest Trend in Rural Environment by Big Data,황상원                                (고려대학교),대한의료커뮤니케이션학회,의료커뮤니케이션(N/A),Vol.13   No.1   [2018],2018,Korean,Rural environment medicine treatment;  Big data;  atopy;  hyperlipidemia;  농촌 환경 의료;  빅데이터;  아토피;  고지혈증,"Background: In the rural environment, medicine treatment has analyzed the health behavior of some rural areas, but it is necessary to study and generalize trends of interest in the whole country. Therefore, The objective of this study is to analyze interest trends of rural health care services of rural residents in rural areas by Big Data. Methods: Big medical data collection related to rural environment medicine treatment used portal site data of social networks. The Big Data was analyzed utilizing a Textom and Ucinet6 analysis tools. Results: Among the major keywords of Big Data are ‘hospital’, ‘university’, ‘management’, ‘seat’, ‘improvement’, ‘residents’, ‘information’, ‘exercise’, ‘development’, ‘problem’, ‘Pain’, ‘Possibility’, ‘Post’, ‘Work’, ‘Relationship’ etc occupy a high rank in all analyzes such as frequency ranking, total network analysis, 4 centrality and CONCOR analysis. In rural environment medicine, the individual diseases of interest were skin, scars, atopy, acne, eyes, hyperlipidemia, stress and so on. It is also possible to find out whether the program, the longevity person, the cultivation, the village, the farm, the activity, the program, the education, the experience, etc. Conclusions: In the rural areas, they are interested in the folk medicine that can be used in the rural areas for the treatment of the diseases related to the rural areas. The lack of treatment for children and women indicated that professional information was needed, and they also expressed interest in food, life, and spatial location for long-lived villages. Specially, ""atopy"" and ""earnestness"" were included in the main words. The word ‘health center’, which is the subject of various health promotion projects, was not included in the 170 main words."
인공지능 코칭 기반 고령자 근골격계 운동재활 프로그램 개발을 위한 인체동작 데이터에 관한 연구,강승록(S. R. Kang)                          ;  김다솔(D. S. Kim)                          ;  김기욱(G. W. Kim)                          ;  고명환(M. H. Ko),한국재활복지공학회,한국재활복지공학회 학술대회논문집,Vol.2021   No.11   [2021],2021,Korean,,
