,논문제목,연도,링크
10,건강보험공단 자료를 이용한 빅데이터 자료분석 방법: 부비동염수술과 천식사이의 관련성에 대한 고찰과 분석을 위한 방법론,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2eacadf9d29e1fa5c85d2949c297615a&keyword=
11,보건의료 빅데이터의 시각화 방법들,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6ea349439ce619e66aae8a972f9116fb&keyword=
12,농생명산업의 빅데이터 실용사례에 대한 분석과 활용 방안,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2467f755861d51976aae8a972f9116fb&keyword=
13,보건의료 빅데이터 이용 활성화를 위한 오픈 소스 데이터 분석 프로그램의 개발,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=dd1a2eb32705dc1e7f7a54760bb41745&keyword=
14,보건의료 빅데이터의 시각화 방법들,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2d355a216a297df74884a65323211ff0&keyword=
15,약용 생물자원 빅데이터 구축 : 2019~2021,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cd0c04e45935320b6aae8a972f9116fb&keyword=
16,소화기 영역의 빅데이터 연구 - 빅데이터연구위원회 활동 및 성과 중심으로 -,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=47e024e2b26e219a7f7a54760bb41745&keyword=
17,인공지능을 활용한 C-Arm에서 수술용 거즈 검출을 위한 데이터셋 구축 및 검출모델 적용에 관한 연구,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5f4baca5a7bf99cde9810257f7042666&keyword=
18,빅데이터를 활용한 환자 진료시간과 환자 연령 간 연관성 분석연구,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=34d1903d10228e14b36097776a77e665&keyword=
19,빅데이터를 이용한 소아청소년에서의 코로나 바이러스 감염증-19와 치과 방문의 연관성 분석,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d888d9cfc6bc553dc85d2949c297615a&keyword=
20,"빅데이터를 활용한 화병, 우울증, 자살의 검색 상관관계 분석: 2016년부터 2022년까지",2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=aa1ee92f1d100b327ecd42904f0c5d65&keyword=
21,빅데이터 활용의 임상 사례,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e9add7d640ff41086aae8a972f9116fb&keyword=
22,빅데이터를 활용한 코로나 우울에 관한 연구,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=301873fb8f1ab510b36097776a77e665&keyword=
23,빅데이터를 이용한 치면열구전색 급여화 이후의 소아청소년 치면열구전색 환자에 대한 분석,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=be92fcdd7c337bc04884a65323211ff0&keyword=
24,빅데이터연구와 윤리적 주의점 : 보건의료 데이터 활용 가이드라인을 중심으로,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d907064eb335efc16aae8a972f9116fb&keyword=
25,"빅데이터를 이용한 양성돌발두위현훈과 흡연, 음주, 비만의 상관관계 분석",2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7b46bab191b3d99cc85d2949c297615a&keyword=
26,빅데이터를 이용한 소아 중이염과 천식의 연관성 분석,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=25cdbcb282882ddb4884a65323211ff0&keyword=
27,인공지능 기반 임상의학 결정 지원 시스템 의료기기의 성능 및 안전성 검증을 위한 간 종양 표준 데이터셋 구축,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a832462c983d4a75b36097776a77e665&keyword=
28,빅데이터에 의한 농촌 환경 의료 관심 트랜드 분석,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5b4fab207d312379b7998d826d417196&keyword=
29,빅데이터 분석 방법 및 활용 -(2015 한국보건행정학회 후기 학술대회),2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f163a036f2a0eaa9b36097776a77e665&keyword=
30,인공지능 코칭 기반 고령자 근골격계 운동재활 프로그램 개발을 위한 인체동작 데이터에 관한 연구,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d6371c9c3f230272e9810257f7042666&keyword=
31,빅데이터 분석을 통한 여성 고위험음주문제,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4fb79457ad814a126aae8a972f9116fb&keyword=
32,이비인후과 질환에서 빅데이터의 활용,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b7e709312e861c54c85d2949c297615a&keyword=
33,빅데이터의 정의와 활용 범위 : 구글신은 모든 것을 알고 있다?! -Big-data와 복잡계 네트워크,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e9add7d640ff41087f7a54760bb41745&keyword=
34,빅데이터를 활용한 요양보호사의 서비스질 인식에 관한 연구,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f9f9a3104a799c927ecd42904f0c5d65&keyword=
35,국민건강보험공단 빅데이터를 이용한 ALS 환자군의 특성 분석,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=004d48dfc67319d47ecd42904f0c5d65&keyword=
36,소셜 빅데이터를 이용한 낙태의 경향성과 정책적 예방전략,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0d947aa45ba6126eb36097776a77e665&keyword=
37,대화형 도형 처리(interactive graphics)을 이용한 국민보험공단 빅데이터 시각화 앱(app) 구축,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d2759ec52cdf6a1d4884a65323211ff0&keyword=
38,정신분석과 빅데이터와의 대화 가능성 : 감정을 어떻게 처리할 것인가?에 관한 토론문,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fdc575b7f8e1a34c7ecd42904f0c5d65&keyword=
39,보건의료 빅데이터를 활용한 소아 감기 치료의 동향 조사,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0b31d751b5eda0cfe9810257f7042666&keyword=
40,구급 빅데이터의 분석과 활용 방안에 관한 연구,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=894a585b9fc1c7f54884a65323211ff0&keyword=
41,학술 빅데이터 분석에 기반한 재활간호의 이해,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=191503454c1d6ed9b7998d826d417196&keyword=
42,보건의료 빅데이터 활용의 법적 장벽과 개선 방향,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f163a036f2a0eaa9d18150b21a227875&keyword=
43,베이시안 기계학습과 의학 빅데이터를 이용한 인과관계 유전자 조절 네트워크의 그래픽 모델 개발,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1c80b2c644861d67d18150b21a227875&keyword=
44,내비게이션 빅데이터를 활용한 재난·재해시 도로 링크 취약성 평가지표 개발연구,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b3c1fdcf7b1ec8e9b36097776a77e665&keyword=
45,소셜 빅데이터 기반 보건복지 정책 미래신호 예측,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6becb571064cf0507ecd42904f0c5d65&keyword=
46,비정형 빅데이터를 이용한 치면열구전색 (치아홈메우기)에 대한 인식분석,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1e01d3136a90b67fe9810257f7042666&keyword=
47,헬스케어 빅데이터의 현재와 미래,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=67867d11c50dc070b36097776a77e665&keyword=
48,임상에서의 빅데이터 생성 및 활용: 분당서울대병원 사례를 중심으로,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e9add7d640ff4108d18150b21a227875&keyword=
49,건강보험 빅데이터를 활용한 근무지와 거주지 지역 차이에 따른 출산율 비교,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=94b502818ff465926aae8a972f9116fb&keyword=
50,보건의료 빅데이터를 이용한 전문재활치료 건강보험수가 현황 분석: ICF 모델을 중심으로,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=14d9b22593b00dca4884a65323211ff0&keyword=
51,보건의료 빅데이터를 이용한 유아기 우식증과 칸디다증의 연관성 분석,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5a8cfb3c03fe7379d18150b21a227875&keyword=
52,보건의료 빅데이터를 활용한 연구방법 및 한의학 레지스트리의 필요성,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d452e32467b83671e9810257f7042666&keyword=
53,의료 빅데이터를 활용한 임상 연구,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c0dd33c440c294f8e9810257f7042666&keyword=
54,건강보험 빅데이터를 통한 전체 근로자 및 공무원 근로자의 암 발생률 분석,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3560ab3434414cdd7f7a54760bb41745&keyword=
55,안전보건감독에서 빅데이터와 기계학습의 역할에 관한 유럽 안전보건청(OSHA)의 토론자료(2),2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=85145d5cb8747b3047de9c1710b0298d&keyword=
56,보건의료 빅데이터를 이용한 얼굴마비환자의 의료비용에 관한 연구,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1155a54229b177cbe9810257f7042666&keyword=
57,건강보험 빅데이터의 의료계 활용,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=509f2d75ff4575596aae8a972f9116fb&keyword=
58,현장 자료와 건강보험공단 빅데이터 활용을 통한 상호보안적 근로자 건강관리,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d2759ec52cdf6a1db7998d826d417196&keyword=
59,3D 프린팅과 빅데이터로 구현하는 안경산업의 미래,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1d62c774446c151c7ecd42904f0c5d65&keyword=
60,F-48 보건의료 빅데이터 분석을 통한 미세먼지 노출과 폐렴 발생의 상관 관계에 대한 연구,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6dfd7391d9d9bc06c85d2949c297615a&keyword=
61,노인 돌봄 빅데이터를 활용한 욕구 및 자원 서비스 예측 모형 개발,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5dd5bc2cd323d7884884a65323211ff0&keyword=
62,"산업보건에서의 사물인터넷(IoT), 클라우드, 빅데이터의 응용과 적용",2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c37fbf903662173ac85d2949c297615a&keyword=
63,국립장기이식센터 연보와 건강보험심사평가원 빅데이터를 이용하여 분석한 각막이식의 최신 경향,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9a749400fd2c5d03b36097776a77e665&keyword=
64,단일 2차 종합병원에서 출혈성 소화성궤양 환자의 임상 양상과 빅데이터 분석을 위한 조작적 정의에 관한 연구,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b9d7dfcec2a823e77f7a54760bb41745&keyword=
65,미래의 수면의학: 모바일 헬스와 빅데이터,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=19b19513529f2cdf7ecd42904f0c5d65&keyword=
66,보건의료 가치향상을 위한 빅데이터 활용의 국제적 동향과 시사점,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f163a036f2a0eaa9e9810257f7042666&keyword=
67,간호간병통합서비스 관련 온라인 기사 및 SNS 빅데이터의 의미연결망 분석,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=82b6be3caac3ab51b7998d826d417196&keyword=
68,4차 산업의 핵심기술인 빅데이터 이용 신약개발 전략,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=55d20103e86b75fab36097776a77e665&keyword=
69,미래 건강증진 이슈: 빅데이터 & ICT 기반 맞춤형 건강관리,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3f2602fd7bbf7bd97f7a54760bb41745&keyword=
70,치과적 정의에 대한 고찰: 뉴스 댓글  빅데이터 분석을 중심으로,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5ca4602e4e98d0077ecd42904f0c5d65&keyword=
71,F-136 조기대응점수와 병원예후와의 관계: 빅데이터를 이용한 후향적분석,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ad2acca97c58f2cc6aae8a972f9116fb&keyword=
72,치료에서 예방으로 건강보험의 패러다임 전환 : 건강보험 빅데이터를 활용한 건강관리 강화방안,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1d12bc4b8f8f7491b36097776a77e665&keyword=
73,급성호흡기감염 환자의 표시과목별 항생제 처방특성 -국민건강보험 빅데이터를 활용하여-,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3a366bbe824f16aeb7998d826d417196&keyword=
74,한국보건행정학회 창립 25주년 기념 학술대회 : 비정형 빅데이터를 활용한 보건의료분야에서 안전이슈 도출,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=63aca3fc3a9c3e644884a65323211ff0&keyword=
75,간호간병통합서비스 관련 온라인 기사 및 소셜미디어 빅데이터의 의미연결망 분석,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=595e04ba27a597396aae8a972f9116fb&keyword=
76,"간세포암, 과연 최적의 감시관리를 하고 있는가? 빅데이터 자료 분석",2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=79de7a8b5bce200cd18150b21a227875&keyword=
77,세션 2-2 IT헬스 기술이 가져올 보건의료 혁신과 미래정책 과제 : 빅데이터를 통한 건강시스템 혁신의 방향과 과제,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=42b117cb390b475d4884a65323211ff0&keyword=
78,식품안전 확보를 위한 식품위험 사전예측 포착시스템 발전방안 연구 - 식품 빅데이터 분석을 통한 식품안전관리 효율화 방안 마련,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=55d5c18b7f2327466aae8a972f9116fb&keyword=
79,"프로이트의 심급과 라캉의 언어처럼 짜인 무의식, 그리고 AI의 빅데이터 사이의 대화는 가능한가?",2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=082d221ac870dc756aae8a972f9116fb&keyword=
80,의원 가감지급사업 실시 전후에 따른 급성호흡기계질환의 의약품 처방특성 - 국민건강보험 빅데이터를 활용하여 -,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=83923ca5fc2df98dd18150b21a227875&keyword=
81,소셜빅데이터 분석을 위한 식품안전 온톨로지 구축,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=70439806852a1159b7998d826d417196&keyword=
82,원주세브란스기독병원 환경보건센터 -빅데이터 분과-,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=be4a40139507dbe74884a65323211ff0&keyword=
83,어깨 통증의 역학 및 원인: 보건의료빅데이터개방시스템 의료통계정보를 기반으로,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=23ffd349df408126b36097776a77e665&keyword=
84,빅 데이터를 이용한 국내의 성인 및 노인대상 작업치료 관련 연구:  체계적 고찰,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1e63d510c211f29bc85d2949c297615a&keyword=
85,소셜 빅 데이터를 활용한 자살검색 요인 다변량 분석,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8bda77d89d0e90faffe0bdc3ef48d419&keyword=
86,한국보건행정학회 창립 25주년 기념 학술대회 : 빅 데이터 시대에서 공공기관의 건강 관련 데이터의 활용전략 및 정책제언,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=63aca3fc3a9c3e6447de9c1710b0298d&keyword=
87,데이터관리 및 추적검사 : 데이터관리 전국 위암 환자 데이터 관리에 관한 설문조사 중간결과,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=674ac26bdb933928ffe0bdc3ef48d419&keyword=
88,인공지능을 이용한 대장폴립의 진단: 미소폴립의 정확한 분류,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2886831e7de411a7e9810257f7042666&keyword=
89,의학에서 인공지능 도입의 현재와 미래,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=52762de4c8ff0a0f7f7a54760bb41745&keyword=
90,의료인공지능: 인공지능 초심자를 위한 길라잡이,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e1118e51e891ee64b7998d826d417196&keyword=
91,왓슨을 중심으로 본 의료 인공지능의 유용성 및 검증의 필요성,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=52762de4c8ff0a0f47de9c1710b0298d&keyword=
92,인공지능을 활용한 정형외과 및 근골격계 종양의 임상 연구 및 동향,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bb63fb26619aa8207f7a54760bb41745&keyword=
93,인공지능이 따라하지 못할 인문학적 뇌와 인간의 양면성(창조성과 한계)에 도전하는 인공지능 : 권택영(2018). 『생각의 속임수: 인공지능이 따라하지 못할 인문학적 뇌』. 글항아리,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=eed16996f2a7f4c47f7a54760bb41745&keyword=
94,인공지능시대의 경혈 주치 연구를 위한 제언,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ac2c3df16a4dd724b7998d826d417196&keyword=
95,인공지능을 활용한 매개모기 자동분류 기술 개발,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cf02a1abbf965c227ecd42904f0c5d65&keyword=
96,인공지능 시대의 뇌영상의학,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9f1e1097f8bd0ff7c85d2949c297615a&keyword=
97,인공지능과 의사의 미래,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0dfa15975278f7a3e9810257f7042666&keyword=
98,인공지능의 미래,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=47b9727b9be140fb4884a65323211ff0&keyword=
99,인공지능과 내과 의사의 미래,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4871413e8bf93c91e9810257f7042666&keyword=
100,인공지능의 미래를 좌우할 인간의 자연지능,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cb640af02aa99c3ab7998d826d417196&keyword=
101,인공지능과 의료자원분배,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=83a98fc864f645d147de9c1710b0298d&keyword=
102,인공지능시대에서의 의사 역할(법적 측면),2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=721dc3fb926fd91bd18150b21a227875&keyword=
103,인공지능 시대의 마취통증의학 연구,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1d32a4c35d158e08b36097776a77e665&keyword=
104,"[인공지능 시대, 휴먼테크놀러지 뇌교육 : 일본] 일본뇌교육협회, 뇌교육 활동 소식 담은 《IBREA Times》 창간",2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b170b5fe4de8ec7ab36097776a77e665&keyword=
105,인공지능의 의학적 활용에 대한 건강보험 적용 : 영상의학 관점,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=345264ce25c26a9f47de9c1710b0298d&keyword=
106,인공지능 기반 평가 도구를 이용한 한의사의 체질 진단 평가 및 활용 방안에 대한 연구,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a0dc462facdebfdfd18150b21a227875&keyword=
107,"인공지능 활용, 어디까지 해봤니?",2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4972c4b6f238819fb7998d826d417196&keyword=
108,인공지능 시대를 준비하는 간호,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e6863a706f16f60c7ecd42904f0c5d65&keyword=
109,인공지능을 이용한 의료영상 판독의 현재와 미래,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e8b31bd763690ffcb7998d826d417196&keyword=
110,인공지능시대에서의 의사 역할(윤리적 측면),2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=721dc3fb926fd91be9810257f7042666&keyword=
111,인공지능 드라마가 주는 의미는?,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=09a37878a7e4e7e0d18150b21a227875&keyword=
112,인공지능  기반  흉부  후전방향  검사에서  자세  평가 방법에  관한  연구,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f04e9c9887b55c7f7ecd42904f0c5d65&keyword=
113,인공지능 왓슨 기술과 보건의료의 적용,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0893e473bb67af9a7f7a54760bb41745&keyword=
114,인공지능 왓슨과 다학제 진료의 치료방법 일치율 평가 및 의료진 만족도 조사,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c106f29a1549c0037f7a54760bb41745&keyword=
115,인공지능진료시스템 수용에 관한 연구 : 의료기관 종사자와 일반인의 기대 차이를 중심으로,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c6c7e39cb176ce6247de9c1710b0298d&keyword=
116,인공지능을 활용한 두피 모발 질환 진단 장치 개발,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1616de9d348f5f9c7f7a54760bb41745&keyword=
117,인공지능 딥러닝을 이용한 직업성폐질환(진폐증) 진단 보조프로그램 기술 개발,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=52532e7253f30eb4b36097776a77e665&keyword=
118,"인공지능 시대, 자연지능을 깨우다",2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=71cd3d23624498c5e9810257f7042666&keyword=
119,인공지능 기술보다 중요한 인공지능 윤리,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=68e6e289a7e7c4b07ecd42904f0c5d65&keyword=
120,인공지능 챗봇의 질병 진단 및 환자 치료에 대한 답변은 신뢰할 수 있는가?,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c42da7a33560cf5c6aae8a972f9116fb&keyword=
121,인공지능과 재활로봇 융합에 대한 전망,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7a3b57c97d9cea00b7998d826d417196&keyword=
122,인공지능을 활용한 초음파영상진단장치에서 초음파 팬텀 영상을 이용한 정도관리의 정량적 평가방법 연구,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c39acbc83512a117c85d2949c297615a&keyword=
123,인공지능로봇의료의 도덕형이상학적 모색: 의료적 전자인간의 책임가능성,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=34a099d83339febf7ecd42904f0c5d65&keyword=
124,인공지능 시대에 더 중요해질 침상 옆 교육,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0893e473bb67af9ae9810257f7042666&keyword=
125,"인공지능 시대의 도래, 인간이란 무엇인가?",2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=24eb5c06f4b969ad7f7a54760bb41745&keyword=
126,"인공지능의 임상검증, 의료기기 허가, 의료보험 적용과 관련된 핵심 원리",2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a57f6ce557d624a7b7998d826d417196&keyword=
127,"[인공지능 시대, 휴먼테크놀러지 뇌교육 : 이탈리아] 이탈리아 남부 포자 대학(University of Foggia), 뇌교육 초청 강연",2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b170b5fe4de8ec7a7ecd42904f0c5d65&keyword=
128,보건의료영역 인공지능 윤리 원칙과 고려사항,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d1ae408c0a6ba2d04884a65323211ff0&keyword=
129,보건의료와 연구에서의 인공지능,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b97a714ed5ace7217f7a54760bb41745&keyword=
130,"인공지능 딥러닝의 역사와 현황, 그리고 미래 방향",2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=47b9727b9be140fbb7998d826d417196&keyword=
131,인공지능과 간호에 관한 언론보도 기사의 키워드 네트워크 분석 및 토픽 모델링,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c912573eedb2eb6c7ecd42904f0c5d65&keyword=
132,인공지능(AI) 시스템을 활용한 낙상 위험 요인 예측모델 개발,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2caa9afa0be4ca2fb36097776a77e665&keyword=
